mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.6623882293701172,0.05251696194707876,0.13746895790100097,0.04529624164857853,4,3,400,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 400}",0.8571428571428571,0.7959183673469388,0.7916666666666666,0.8125,0.7916666666666666,0.8097789115646258,0.024895658977052752,13,0.8076923076923077,0.875,0.8333333333333334,0.782608695652174,0.7727272727272727,0.8142723218810175,0.03694061712851767,10,0.9130434782608695,0.6363636363636364,0.6818181818181818,0.8181818181818182,0.7727272727272727,0.7644268774703556,0.09825454143494039,14,0.8571428571428571,0.7368421052631579,0.75,0.8,0.7727272727272727,0.7833424470266575,0.042686431304650004,18,0.9481605351170568,0.8922558922558923,0.8723776223776224,0.9003496503496504,0.8846153846153846,0.8995518169431213,0.02599310831225856,1
0.24616127014160155,0.046889638702063974,0.10684700012207031,0.03742935328261593,4,3,200,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 200}",0.8571428571428571,0.7959183673469388,0.8125,0.8125,0.8125,0.8181122448979592,0.020544823052755987,1,0.8076923076923077,0.875,0.8823529411764706,0.782608695652174,0.8095238095238095,0.8314355508089524,0.03979540088880058,1,0.9130434782608695,0.6363636363636364,0.6818181818181818,0.8181818181818182,0.7727272727272727,0.7644268774703556,0.09825454143494039,14,0.8571428571428571,0.7368421052631579,0.7692307692307693,0.8,0.7906976744186046,0.7907826812110778,0.03965528914308499,9,0.9498327759197325,0.8888888888888888,0.8793706293706294,0.8951048951048951,0.881118881118881,0.8988632140806054,0.026101074957012874,2
0.3142955780029297,0.044183198407050116,0.09611372947692871,0.033024674196961035,4,5,200,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 200}",0.8775510204081632,0.8163265306122449,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8096088435374149,0.03690162687709215,18,0.84,0.8823529411764706,0.8333333333333334,0.75,0.7619047619047619,0.8135182072829131,0.05006127356817879,12,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7644268774703556,0.089448657623281,14,0.875,0.7692307692307693,0.75,0.782608695652174,0.7441860465116279,0.7842051022789142,0.0474173100522441,16,0.9548494983277591,0.8956228956228957,0.8671328671328671,0.8968531468531469,0.8793706293706294,0.8987658074614595,0.03011887246767893,3
0.46426663398742674,0.06465363949295592,0.11325135231018066,0.011875288889508945,6,3,400,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 400}",0.8571428571428571,0.8163265306122449,0.8125,0.7916666666666666,0.7916666666666666,0.8138605442176872,0.023943379807863988,6,0.8076923076923077,0.8823529411764706,0.8823529411764706,0.75,0.7727272727272727,0.8190250925545042,0.054876618623633994,7,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7727272727272727,0.7735177865612648,0.08749920490730415,8,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.782608695652174,0.7727272727272727,0.7901880727967685,0.033833967515835395,10,0.9531772575250836,0.8905723905723906,0.8671328671328671,0.9055944055944056,0.8758741258741258,0.8984702093397745,0.030326895123919496,4
0.4518563747406006,0.05558892870453366,0.08726787567138672,0.005862551724165242,,5,400,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 400}",0.8571428571428571,0.8163265306122449,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8055272108843538,0.02955907561753001,21,0.8076923076923077,0.8823529411764706,0.8333333333333334,0.75,0.7619047619047619,0.8070566688213747,0.048279506874904066,18,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7644268774703556,0.089448657623281,14,0.8571428571428571,0.7692307692307693,0.75,0.782608695652174,0.7441860465116279,0.7806336737074856,0.0406311052893208,22,0.9548494983277591,0.898989898989899,0.8601398601398601,0.9020979020979021,0.8741258741258742,0.8980406067362589,0.03241294184019677,5
0.737769365310669,0.03335829056784938,0.169594144821167,0.036273847300830775,8,5,400,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 400}",0.8571428571428571,0.8163265306122449,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8055272108843538,0.02955907561753001,21,0.8076923076923077,0.8823529411764706,0.8333333333333334,0.75,0.7619047619047619,0.8070566688213747,0.048279506874904066,18,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7644268774703556,0.089448657623281,14,0.8571428571428571,0.7692307692307693,0.75,0.782608695652174,0.7441860465116279,0.7806336737074856,0.0406311052893208,22,0.9548494983277591,0.898989898989899,0.8601398601398601,0.9020979020979021,0.8741258741258742,0.8980406067362589,0.03241294184019677,5
0.6486809253692627,0.05578870300775587,0.11374788284301758,0.018331632956044036,,3,400,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 400}",0.8367346938775511,0.8163265306122449,0.8125,0.7916666666666666,0.7708333333333334,0.8056122448979591,0.022516197552097914,20,0.7777777777777778,0.8823529411764706,0.8823529411764706,0.75,0.7619047619047619,0.8108776844070962,0.059021128549961215,15,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7644268774703556,0.089448657623281,14,0.84,0.7692307692307693,0.7692307692307693,0.782608695652174,0.7441860465116279,0.7810512561250681,0.03198709590754489,20,0.951505016722408,0.8905723905723906,0.8653846153846154,0.9055944055944056,0.8758741258741258,0.897786110829589,0.030095581300795652,7
0.4752515316009521,0.2100990775260597,0.13458943367004395,0.06427425936964648,6,1,200,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8571428571428571,0.8163265306122449,0.7916666666666666,0.8125,0.8125,0.8180272108843537,0.021395815045850353,2,0.8333333333333334,0.8823529411764706,0.8333333333333334,0.782608695652174,0.8095238095238095,0.8282304226038242,0.03290168918292627,2,0.8695652173913043,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7727272727272727,0.7648221343873518,0.07437764823951035,11,0.851063829787234,0.7692307692307693,0.75,0.8,0.7906976744186046,0.7921984546873216,0.034165693288921266,8,0.9414715719063544,0.8754208754208754,0.8846153846153846,0.9125874125874126,0.8741258741258741,0.8976442237311802,0.025926341694287657,8
0.5007823944091797,0.056575855127533915,0.14388761520385743,0.02129433623092388,8,3,400,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 400}",0.8163265306122449,0.8163265306122449,0.8125,0.8125,0.7708333333333334,0.8056972789115646,0.017515768399523825,19,0.75,0.8823529411764706,0.8823529411764706,0.782608695652174,0.7619047619047619,0.8118438679819754,0.058508687268489845,14,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7644268774703556,0.089448657623281,14,0.8235294117647058,0.7692307692307693,0.7692307692307693,0.8,0.7441860465116279,0.7812353993475745,0.027574519245239973,19,0.9498327759197325,0.8905723905723906,0.8653846153846154,0.9055944055944056,0.8758741258741258,0.8974516626690541,0.029500153518202576,9
0.4490011215209961,0.027089670971861476,0.10245218276977539,0.013725192515416621,4,1,400,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.8775510204081632,0.7959183673469388,0.7916666666666666,0.7916666666666666,0.8125,0.8138605442176872,0.03275785692104564,6,0.84,0.875,0.8333333333333334,0.75,0.8095238095238095,0.8215714285714286,0.0414733201128043,4,0.9130434782608695,0.6363636363636364,0.6818181818181818,0.8181818181818182,0.7727272727272727,0.7644268774703556,0.09825454143494039,14,0.875,0.7368421052631579,0.75,0.782608695652174,0.7906976744186046,0.7870296950667873,0.048294443459736484,14,0.9498327759197325,0.8872053872053873,0.8723776223776224,0.8898601398601398,0.8863636363636364,0.8971279123453038,0.02704635338577581,10
