model_family,test_roc_auc,val_roc_auc,test_f1,val_f1,test_accuracy,val_accuracy,test_precision,val_precision,test_recall,val_recall,best_run_id
randomforest,0.9534632034632036,0.8985347250100362,0.8620689655172413,0.6385542168674698,0.8688524590163934,0.7959183673469388,0.8333333333333334,0.8833333333333333,0.8928571428571429,0.5,88abf05dd8bd49c289d0c90faeed9ab8
logreg,0.9621212121212122,0.8967282215977518,0.8813559322033898,0.7159090909090909,0.8852459016393442,0.8299319727891157,0.8387096774193549,0.9,0.9285714285714286,0.5943396226415094,0c8992977528404a967508bc82c24f50
